1-XP_004340489.1	2-XP_003286035.1	3-XP_654722.2	4-XP_008855750.1	5-XP_012756221.1	6-KAK5581061.1	7-XP_638541.1	None	9-XP_001741976.1	10-XP_044563571.1
1-XP_004346014.1	2-XP_003292425.1	3-XP_648721.1	4-XP_008856692.1	5-XP_012759239.1	6-KAK5579074.1	7-XP_636422.1	8-XP_004257322.1	9-XP_001737848.1	10-XP_044557690.1
1-XP_004335995.1	2-XP_003290859.1	3-XP_653833.1	4-XP_008860042.1	5-XP_012748097.1	6-KAK5575442.1	7-XP_646726.1	8-XP_004184754.1	9-XP_001739671.1	10-XP_044566317.1
1-XP_004348339.1	2-XP_003291749.1	3-XP_656034.1	None	5-XP_012754052.1	6-KAK5578175.1	7-XP_642608.1	8-XP_004255784.1	9-XP_001739002.1	None
1-XP_004333668.1	2-XP_003286451.1	3-XP_657523.1	4-XP_008857357.1	5-XP_012755812.1	6-KAK5583389.1	7-XP_635125.1	8-XP_004257585.1	9-XP_001741200.1	10-XP_044562004.1
1-XP_004339439.1	2-XP_003293531.1	3-XP_656856.1	4-XP_008859176.1	5-XP_012747903.1	6-KAK5582683.1	7-XP_641729.1	8-XP_004257618.1	9-XP_001735573.1	None
1-XP_004353693.1	2-XP_003294472.1	3-XP_652029.2	4-XP_008857684.1	5-XP_012747868.1	6-KAK5581097.1	7-XP_638610.1	8-XP_004256004.1	9-XP_001738048.1	10-XP_044557937.1
1-XP_004368214.1	2-XP_003286100.1	3-XP_001913982.1	4-XP_008857209.1	5-XP_012756121.1	6-KAK5583149.1	7-XP_642077.1	8-XP_004261187.1	9-XP_001734381.1	10-XP_044566088.1
1-XP_004334840.1	2-XP_003284599.1	3-XP_654512.1	4-XP_008856401.1	5-XP_012756396.1	6-KAK5579874.1	7-XP_635429.1	8-XP_004255708.1	9-XP_001741144.1	None
1-XP_004341931.1	2-XP_003284340.1	3-XP_652977.2	4-XP_008856057.1	5-XP_012749167.1	6-KAK5580468.1	7-XP_637949.2	8-XP_004261426.1	9-XP_001734711.1	None
1-XP_004337460.1	2-XP_003290322.1	3-XP_656494.1	4-XP_008856409.1	5-XP_012758681.1	6-KAK5581337.1	7-XP_638951.1	8-XP_004259544.1	9-XP_001741259.1	10-XP_044561309.1
1-XP_004352735.1	2-XP_003292265.1	3-XP_650530.1	4-XP_008858169.1	5-XP_012752732.1	6-KAK5580640.1	7-XP_638126.1	8-XP_004258178.1	9-XP_001740557.1	None
None	2-XP_003291645.1	3-XP_653162.1	4-XP_008855466.1	5-XP_012759038.1	6-KAK5576448.1	None	8-XP_004254906.1	9-XP_001735351.1	10-XP_044568316.1
None	2-XP_003294306.1	3-XP_648602.1	4-XP_008855216.1	5-XP_012759692.1	6-KAK5581388.1	7-XP_638864.1	8-XP_004254161.1	9-XP_001733536.1	None
1-XP_004341067.1	2-XP_003293545.1	3-XP_648283.1	4-XP_008856516.1	5-XP_012757772.1	None	7-XP_646208.1	8-XP_004254113.1	9-XP_001737925.1	None
None	2-XP_003294321.1	3-XP_652735.1	None	5-XP_012750697.1	6-KAK5574716.1	7-XP_645515.1	8-XP_004183871.1	9-XP_001740752.1	None
